Unnamed: 0.1,Ticker Symbol,Period Ending,Accounts Payable,Accounts Receivable,Add'l income/expense items,After Tax ROE,Capital Expenditures,Capital Surplus,Cash Ratio,Cash and Cash Equivalents,Changes in Inventories,Common Stocks,Cost of Revenue,Current Ratio,Deferred Asset Charges,Deferred Liability Charges,Depreciation,Earnings Before Interest and Tax,Earnings Before Tax,Effect of Exchange Rate,Equity Earnings/Loss Unconsolidated Subsidiary,Fixed Assets,Goodwill,Gross Margin,Gross Profit,Income Tax,Intangible Assets,Interest Expense,Inventory,Investments,Liabilities,Long-Term Debt,Long-Term Investments,Minority Interest,Misc. Stocks,Net Borrowings,Net Cash Flow,Net Cash Flow-Operating,Net Cash Flows-Financing,Net Cash Flows-Investing,Net Income,Net Income Adjustments,Net Income Applicable to Common Shareholders,Net Income-Cont. Operations,Net Receivables,Non-Recurring Items,Operating Income,Operating Margin,Other Assets,Other Current Assets,Other Current Liabilities,Other Equity,Other Financing Activities,Other Investing Activities,Other Liabilities,Other Operating Activities,Other Operating Items,Pre-Tax Margin,Pre-Tax ROE,Profit Margin,Quick Ratio,Research and Development,Retained Earnings,Sale and Purchase of Stock,"Sales, General and Admin.",Short-Term Debt / Current Portion of Long-Term Debt,Short-Term Investments,Total Assets,Total Current Assets,Total Current Liabilities,Total Equity,Total Liabilities,Total Liabilities & Equity,Total Revenue,Treasury Stock,For Year,Earnings Per Share,Estimated Shares Outstanding,Open,Close,Low,High,Volume,GICS Sector,GICS Sub Industry
1156,NKE,5/31/2013,3789000000.0,142000000,15000000,22,-598000000,5184000000.0,151.0,3337000000.0,-219000000,3000000.0,14279000000.0,344.0,1043000000,1292000000,502000000,3256000000,3256000000,36000000,0,2452000000.0,131000000.0,44,11034000000.0,805000000,289000000.0,0,3484000000,-1140000000.0,27000000,1210000000.0,0.0,0,0,937000000,1083000000,3032000000.0,-1045000000.0,-940000000.0,2472000000,136000000,2472000000,2451000000,3425000000,0,3238000000,13,0.0,756000000,18000000.0,274000000,0,798000000,0.0,-28000000,0,13,29,10,256.0,0,5620000000.0,-1361000000,7796000000,155000000.0,2628000000.0,17545000000.0,13630000000.0,3962000000,11081000000.0,6464000000.0,17545000000.0,25313000000.0,0.0,2013.0,,,62.200001,61.66,61.66,63.139998999999996,7460400,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
1159,NKE,5/31/2016,5313000000.0,60000000,140000000,31,-1143000000,7786000000.0,102.0,3138000000.0,-590000000,3000000.0,17405000000.0,280.0,2439000000,1770000000,662000000,4623000000,4623000000,-105000000,0,3520000000.0,131000000.0,46,14971000000.0,863000000,281000000.0,0,4838000000,93000000.0,-889000000,2010000000.0,0.0,0,0,868000000,-714000000,3096000000.0,-2671000000.0,-1034000000.0,3760000000,254000000,3760000000,3760000000,3241000000,0,4502000000,14,0.0,1489000000,0.0,318000000,0,16000000,0.0,-161000000,0,14,38,12,190.0,0,4151000000.0,-2731000000,10469000000,45000000.0,2319000000.0,21396000000.0,15025000000.0,5358000000,12258000000.0,9138000000.0,21396000000.0,32376000000.0,0.0,2016.0,2.21,1701357466.0,56.41,55.220001,55.169998,56.470001,14233600,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
1522,TIF,1/31/2013,325911000.0,-1393000,5428000,16,-219530000,1019997000.0,86.0,504838000.0,-233700000,1269000.0,1630965000.0,537.0,306385000,96724000,152837000,702645000,643576000,2294000,0,818838000.0,0.0,57,2163284000.0,227419000,0.0,59069000,2234334000,-3952000.0,-53058000,765238000.0,0.0,12586000,0,277215000,70884000,328290000.0,71446000.0,-331146000.0,416157000,74129000,416157000,416157000,253506000,0,697217000,18,354038000.0,157548000,66647000.0,-93875000,0,-107664000,570978000.0,-26682000,0,17,25,11,156.0,0,1671341000.0,-28345000,1466067000,194034000.0,1363000.0,4630850000.0,3151589000.0,586592000,2598732000.0,2032118000.0,4630850000.0,3794249000.0,0.0,2012.0,3.28,126877134.1,64.809998,65.75,64.779999,66.0,2941100,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
1523,TIF,1/31/2014,374066000.0,-23200000,13200000,7,-221400000,1095304000.0,53.0,345778000.0,-168300000,1283000.0,1690700000.0,463.0,278390000,81865000,171100000,317500000,254900000,-1500000,0,855095000.0,0.0,58,2340400000.0,73500000,0.0,62600000,2326580000,-25400000.0,-40400000,751154000.0,0.0,13531000,0,70000000,-159000000,154700000.0,-65400000.0,-246800000.0,181400000,70100000,181400000,181400000,289826000,0,304300000,8,390478000.0,244947000,70309000.0,-58548000,0,0,488624000.0,-36000000,0,6,9,5,129.0,0,1682398000.0,27900000,2036100000,252365000.0,21257000.0,4752351000.0,3228388000.0,696740000,2720437000.0,2031914000.0,4752351000.0,4031100000.0,0.0,2013.0,1.42,127746478.9,82.41999799999999,83.190002,82.239998,83.709999,823600,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
1574,UAA,12/31/2012,228766000.0,-53433000,-73000,16,-50650000,321338000.0,136.0,341841000.0,4699000,35000.0,955624000.0,358.0,22606000,0,43082000,208622000,203439000,1330000,0,180850000.0,0.0,48,879297000.0,74661000,4483000.0,5183000,319286000,0.0,61847000,52757000.0,0.0,0,0,-19330000,166457000,199761000.0,12297000.0,-46931000.0,128778000,18848000,128778000,128778000,198575000,0,208695000,11,45546000.0,43896000,14330000.0,2368000,0,3719000,35176000.0,-4060000,0,11,25,7,232.0,0,493181000.0,14776000,670602000,9132000.0,0.0,1157083000.0,903598000.0,252228000,816922000.0,340161000.0,1157083000.0,1834921000.0,0.0,,,,47.130001,48.529999,47.119999,48.84,5601200,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
1575,UAA,12/31/2013,299185000.0,-35960000,-1172000,15,-87830000,397248000.0,81.0,347489000.0,-156900000,70000.0,1195381000.0,265.0,31094000,0,50549000,263926000,260993000,-3115000,0,223952000.0,122244000.0,49,1136670000.0,98663000,24097000.0,2933000,469006000,-1700000.0,78566000,47951000.0,0.0,0,0,94529000,5648000,120070000.0,126795000.0,-238102000.0,162330000,40534000,162330000,162330000,248329000,0,265098000,11,47543000.0,63987000,22473000.0,2194000,0,-148572000,49806000.0,-19049000,0,11,25,7,155.0,0,653842000.0,15103000,871572000,104972000.0,0.0,1577741000.0,1128811000.0,426630000,1053354000.0,524387000.0,1577741000.0,2332051000.0,0.0,,,,87.019997,87.300003,86.699997,87.400002,1404400,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
1576,UAA,12/31/2014,358113000.0,-101057000,-6410000,15,-140528000,508350000.0,141.0,593175000.0,-84658000,71000.0,1572164000.0,367.0,33570000,0,72093000,347545000,342210000,-3341000,0,305564000.0,123256000.0,49,1512206000.0,134168000,26230000.0,5335000,536714000,0.0,81380000,255250000.0,0.0,0,0,131278000,245686000,219033000.0,182306000.0,-152312000.0,208042000,76578000,208042000,208042000,332333000,0,353955000,11,57064000.0,87177000,34563000.0,-14808000,0,-11784000,67906000.0,-33345000,0,11,25,7,240.0,0,856687000.0,15776000,1158251000,28951000.0,0.0,2095083000.0,1549399000.0,421627000,1350300000.0,744783000.0,2095083000.0,3084370000.0,0.0,,,,68.540001,67.900002,67.849998,69.199997,2661600,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
1577,UAA,12/31/2015,393395000.0,-191876000,-7234000,14,-298928000,636630000.0,27.0,129852000.0,-278524000,72000.0,2057766000.0,313.0,92157000,0,100940000,401313000,386685000,-11822000,0,538531000.0,585181000.0,48,1905547000.0,154112000,75686000.0,14628000,783031000,-6534000.0,39010000,627000000.0,0.0,0,0,384798000,-463323000,-44104000.0,440078000.0,-847475000.0,232573000,130249000,232573000,232573000,433638000,0,408547000,10,78582000.0,152242000,43415000.0,-45013000,0,-542013000,94868000.0,-76476000,0,10,23,6,149.0,0,1076533000.0,10310000,1497000000,42000000.0,0.0,2868900000.0,1498763000.0,478810000,1668222000.0,1200678000.0,2868900000.0,3963313000.0,0.0,,,,80.889999,80.610001,80.470001,81.720001,4685800,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
1630,VFC,12/31/2012,1316780000.0,-111571000,50213000,21,-251940000,2527868000.0,34.0,597461000.0,87620000,110205000.0,5817880000.0,199.0,0,0,237956000,1515480000,1421875000,4039000,0,828218000.0,2009757000.0,47,5061975000.0,335737000,2917058000.0,93605000,1354158000,0.0,-83993000,1429166000.0,0.0,0,0,-271786000,256233000,1275000000.0,-802515000.0,-220291000.0,1085999000,-14333000,1085999000,1085999000,1362860000,0,1465267000,13,428405000.0,135104000,0.0,-453895000,-201000,31649000,1346018000.0,73183000,0,13,28,10,121.0,0,2941447000.0,-244512000,3596708000,415432000.0,0.0,9633021000.0,3449583000.0,1732212000,5125625000.0,4507396000.0,9633021000.0,10879855000.0,0.0,,,,147.66000400000001,150.970001,147.509995,151.490005,2195200,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
1631,VFC,12/31/2013,1544024000.0,-155053000,116000,20,-271153000,2746590000.0,50.0,776403000.0,-47240000,110078000.0,5931469000.0,248.0,0,0,253273000,1647263000,1562490000,7005000,0,932792000.0,2021750000.0,48,5488179000.0,352371000,2960201000.0,84773000,1399062000,0.0,176173000,1426829000.0,0.0,0,0,-395840000,178942000,1506041000.0,-983831000.0,-350273000.0,1210119000,76708000,1210119000,1210119000,1529764000,0,1647147000,14,517718000.0,177753000,0.0,-211720000,0,-79120000,1243575000.0,-7939000,0,14,26,11,158.0,0,3432090000.0,-233995000,3841032000,23977000.0,0.0,10315443000.0,3882982000.0,1568001000,6077038000.0,4238405000.0,10315443000.0,11419648000.0,0.0,,,,62.259997999999996,62.34,62.080002,62.5,1114200,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
