Unnamed: 0.1,Ticker Symbol,Period Ending,Accounts Payable,Accounts Receivable,Add'l income/expense items,After Tax ROE,Capital Expenditures,Capital Surplus,Cash Ratio,Cash and Cash Equivalents,Changes in Inventories,Common Stocks,Cost of Revenue,Current Ratio,Deferred Asset Charges,Deferred Liability Charges,Depreciation,Earnings Before Interest and Tax,Earnings Before Tax,Effect of Exchange Rate,Equity Earnings/Loss Unconsolidated Subsidiary,Fixed Assets,Goodwill,Gross Margin,Gross Profit,Income Tax,Intangible Assets,Interest Expense,Inventory,Investments,Liabilities,Long-Term Debt,Long-Term Investments,Minority Interest,Misc. Stocks,Net Borrowings,Net Cash Flow,Net Cash Flow-Operating,Net Cash Flows-Financing,Net Cash Flows-Investing,Net Income,Net Income Adjustments,Net Income Applicable to Common Shareholders,Net Income-Cont. Operations,Net Receivables,Non-Recurring Items,Operating Income,Operating Margin,Other Assets,Other Current Assets,Other Current Liabilities,Other Equity,Other Financing Activities,Other Investing Activities,Other Liabilities,Other Operating Activities,Other Operating Items,Pre-Tax Margin,Pre-Tax ROE,Profit Margin,Quick Ratio,Research and Development,Retained Earnings,Sale and Purchase of Stock,"Sales, General and Admin.",Short-Term Debt / Current Portion of Long-Term Debt,Short-Term Investments,Total Assets,Total Current Assets,Total Current Liabilities,Total Equity,Total Liabilities,Total Liabilities & Equity,Total Revenue,Treasury Stock,For Year,Earnings Per Share,Estimated Shares Outstanding,Open,Close,Low,High,Volume,GICS Sector,GICS Sub Industry
24,ADBE,11/29/2013,729257000.0,33649000,926000,4,-188358000,3392696000.0,208.0,834556000.0,0,61000.0,586557000.0,265.0,0,428902000,321227000,423649000,356141000,-5241000,0,659774000.0,4771981000.0,86,3468683000.0,66156000,605254000.0,67508000,0,-309116000.0,184502000,1499297000.0,207239000.0,0,0,-176000,-590496000,1151686000.0,-559138000.0,-1177803000.0,289985000,377832000,289985000,289985000,702067000,26497000,422723000,10,90121000.0,170110000,781715000.0,46103000,0,-680329000,201817000.0,-55509000,52254000,9,5,7,265.0,826631000,6928964000.0,-599224000,2140578000,14676000.0,2339196000.0,10380298000.0,4045929000.0,1525648000,6724634000.0,3655664000.0,10380298000.0,4055240000.0,-3643190000.0,2013.0,0.58,499974137.9,57.119999,56.779999,56.619999,57.150002,965200,Information Technology,Application Software
25,ADBE,11/28/2014,776163000.0,7928000,8423000,4,-148332000,3778495000.0,150.0,1117400000.0,0,61000.0,622080000.0,185.0,0,399716000,313590000,421108000,361376000,-6648000,0,785123000.0,4721962000.0,85,3524985000.0,92981000,469662000.0,59732000,0,-312573000.0,390070000,911086000.0,80439000.0,0,0,-14684000,282844000,1287482000.0,-507283000.0,-490707000.0,268395000,309417000,268395000,268395000,687079000,19883000,412685000,10,126315000.0,175758000,1115043000.0,-8094000,0,-29802000,204687000.0,-1918000,52424000,9,5,6,185.0,844353000,6924294000.0,-545834000,2195640000,603229000.0,2622091000.0,10785829000.0,4602328000.0,2494435000,6775905000.0,4009924000.0,10785829000.0,4147065000.0,-3918851000.0,2014.0,0.54,497027777.8,73.129997,73.68,73.050003,74.099998,978400,Information Technology,Application Software
26,ADBE,11/27/2015,779356000.0,-79502000,34870000,9,-184936000,4184883000.0,180.0,876560000.0,0,61000.0,744317000.0,218.0,0,259303000,339473000,937965000,873781000,-21297000,0,787421000.0,5366881000.0,84,4051194000.0,244230000,510007000.0,64184000,0,-535197000.0,350908000,1907231000.0,80439000.0,0,0,387091000,-240840000,1469502000.0,-200687000.0,-1488358000.0,629551000,236773000,629551000,629551000,672006000,1559000,903095000,19,159832000.0,161802000,1434200000.0,-169080000,0,-768225000,344802000.0,-7701000,68649000,18,12,13,218.0,862730000,7253431000.0,-647103000,2215161000,0.0,3111524000.0,11726472000.0,4821892000.0,2213556000,7001580000.0,4724892000.0,11726472000.0,4795511000.0,-4267715000.0,2015.0,1.26,499643650.8,91.860001,92.16999799999999,91.769997,92.57,633000,Information Technology,Application Software
27,ADBE,12/2/2016,866016000.0,-160416000,11978000,16,-203805000,4616331000.0,169.0,1011315000.0,0,61000.0,819908000.0,208.0,0,286791000,331535000,1505580000,1435138000,-14234000,0,816264000.0,5406474000.0,86,5034522000.0,266356000,414405000.0,70442000,0,-707801000.0,551550000,1902068000.0,80439000.0,0,0,-108000,134755000,2199728000.0,-1090706000.0,-960033000.0,1168782000,379298000,1168782000,1168782000,833033000,-1508000,1493602000,26,149758000.0,245441000,1945619000.0,-173602000,0,-48427000,281785000.0,-71021000,78534000,25,19,20,208.0,975987000,8114517000.0,-1165703000,2487907000,0.0,3749985000.0,12707114000.0,5839774000.0,2811635000,7424835000.0,5282279000.0,12707114000.0,5854430000.0,-5132472000.0,,,,99.519997,99.730003,98.0,100.150002,3509400,Information Technology,Application Software
40,ADSK,1/31/2013,396700000.0,-98100000,0,12,-56400000,0.0,187.0,1612200000.0,0,1449800000.0,238500000.0,245.0,122800000,187600000,127800000,310000000,310000000,2000000,0,114900000.0,871500000.0,90,2073700000.0,62600000,76000000.0,0,0,-300000000.0,85000000,745600000.0,411100000.0,0,0,745600000,455300000,559100000.0,541400000.0,-647200000.0,247400000,194000000,247400000,247400000,537300000,43900000,305900000,13,159700000.0,60800000,647000000.0,-5700000,-6100000,-290800000,288300000.0,3000000,42100000,13,15,11,245.0,600000000,599100000.0,-211000000,1081800000,0.0,342100000.0,4308400000.0,2552400000.0,1043700000,2043200000.0,2265200000.0,4308400000.0,2312200000.0,0.0,2013.0,1.09,226972477.1,38.77,38.880001,38.619999,39.299999,2723400,Information Technology,Application Software
41,ADSK,1/31/2014,375300000.0,72300000,0,10,-64200000,0.0,212.0,1853000000.0,0,1637300000.0,274300000.0,265.0,131100000,204400000,128900000,284800000,279900000,-2200000,0,130300000.0,1009900000.0,88,1999600000.0,51100000,63100000.0,4900000,0,64900000.0,46400000,746400000.0,277300000.0,0,0,0,240800000,563500000.0,-126500000.0,-194000000.0,228800000,70400000,228800000,228800000,480500000,12800000,284800000,13,148300000.0,87400000,696200000.0,-600000,-24600000,-194700000,311200000.0,16700000,36500000,12,12,10,265.0,611100000,624800000.0,-111000000,1054400000,0.0,414100000.0,4595000000.0,2835000000.0,1071500000,2261500000.0,2333500000.0,4595000000.0,2273900000.0,0.0,2014.0,1.02,224313725.5,50.77,51.25,50.700001,51.630001,2155300,Information Technology,Application Software
1487,SYMC,3/28/2014,647000000.0,36000000,47000000,15,-194000000,6744000000.0,95.0,3707000000.0,0,7000000.0,791000000.0,131.0,21000000,1006000000,374000000,191000000,107000000,36000000,0,1116000000.0,5858000000.0,81,3392000000.0,16000000,768000000.0,84000000,0,-306000000.0,-518000000,2095000000.0,0.0,0,0,-1000000000,-978000000,1281000000.0,-1712000000.0,-583000000.0,898000000,-698000000,898000000,91000000,1149000000,247000000,144000000,3,124000000.0,419000000,3659000000.0,194000000,-45000000,-83000000,335000000.0,16000000,93000000,3,2,21,131.0,722000000,-1148000000.0,-266000000,2186000000,0.0,377000000.0,13539000000.0,5652000000.0,4306000000,5797000000.0,7742000000.0,13539000000.0,4183000000.0,0.0,2014.0,1.29,696124031.0,19.459999,19.790001,19.43,19.959999,12994700,Information Technology,Application Software
1489,SYMC,4/1/2016,1335000000.0,38000000,10000000,68,-272000000,0.0,149.0,5983000000.0,0,4309000000.0,615000000.0,173.0,0,1594000000,304000000,467000000,392000000,-96000000,0,957000000.0,3148000000.0,83,2985000000.0,1213000000,443000000.0,75000000,0,977000000.0,688000000,2207000000.0,157000000.0,0,0,132000000,3109000000,796000000.0,-4764000000.0,7173000000.0,2488000000,-2059000000,2488000000,-821000000,556000000,136000000,457000000,13,103000000.0,378000000,2698000000.0,22000000,-69000000,6468000000,257000000.0,-3000000,57000000,11,11,69,173.0,748000000,-655000000.0,-1803000000,1587000000,0.0,42000000.0,11767000000.0,6959000000.0,4033000000,3676000000.0,8091000000.0,11767000000.0,3600000000.0,0.0,2016.0,3.71,670619946.1,18.219998999999998,18.41,18.09,18.459999,8804600,Information Technology,Application Software
1502,TDC,12/31/2012,299000000.0,-165000000,-2000000,24,-67000000,898000000.0,90.0,729000000.0,14000000,2000000.0,1174000000.0,190.0,29000000,113000000,126000000,578000000,578000000,0,0,150000000.0,932000000.0,56,1491000000.0,159000000,359000000.0,0,47000000,0.0,147000000,274000000.0,0.0,0,0,-11000000,-43000000,575000000.0,-196000000.0,-422000000.0,419000000,83000000,419000000,419000000,668000000,0,580000000,22,62000000.0,90000000,507000000.0,29000000,55000000,-355000000,94000000.0,-49000000,0,22,32,16,184.0,183000000,1656000000.0,-277000000,728000000,0.0,0.0,3066000000.0,1534000000.0,806000000,1779000000.0,1287000000.0,3066000000.0,2665000000.0,-806000000.0,2012.0,2.49,168273092.4,60.700001,61.889998999999996,60.509997999999996,61.889998999999996,920600,Information Technology,Application Software
1503,TDC,12/31/2013,250000000.0,-46000000,-20000000,20,-60000000,973000000.0,90.0,695000000.0,-9000000,2000000.0,1219000000.0,201.0,24000000,112000000,147000000,512000000,508000000,-8000000,0,161000000.0,946000000.0,55,1473000000.0,131000000,344000000.0,4000000,56000000,0.0,-54000000,248000000.0,0.0,0,0,-15000000,-34000000,510000000.0,-362000000.0,-174000000.0,377000000,85000000,377000000,377000000,717000000,0,532000000,20,58000000.0,95000000,500000000.0,33000000,28000000,-114000000,103000000.0,10000000,0,19,27,14,194.0,184000000,2033000000.0,-382000000,757000000,26000000.0,0.0,3096000000.0,1563000000.0,776000000,1857000000.0,1239000000.0,3096000000.0,2692000000.0,-1184000000.0,2013.0,2.31,163203463.2,44.82,45.490002000000004,44.82,45.900002,1533200,Information Technology,Application Software
