Unnamed: 0.1,Ticker Symbol,Period Ending,Accounts Payable,Accounts Receivable,Add'l income/expense items,After Tax ROE,Capital Expenditures,Capital Surplus,Cash Ratio,Cash and Cash Equivalents,Changes in Inventories,Common Stocks,Cost of Revenue,Current Ratio,Deferred Asset Charges,Deferred Liability Charges,Depreciation,Earnings Before Interest and Tax,Earnings Before Tax,Effect of Exchange Rate,Equity Earnings/Loss Unconsolidated Subsidiary,Fixed Assets,Goodwill,Gross Margin,Gross Profit,Income Tax,Intangible Assets,Interest Expense,Inventory,Investments,Liabilities,Long-Term Debt,Long-Term Investments,Minority Interest,Misc. Stocks,Net Borrowings,Net Cash Flow,Net Cash Flow-Operating,Net Cash Flows-Financing,Net Cash Flows-Investing,Net Income,Net Income Adjustments,Net Income Applicable to Common Shareholders,Net Income-Cont. Operations,Net Receivables,Non-Recurring Items,Operating Income,Operating Margin,Other Assets,Other Current Assets,Other Current Liabilities,Other Equity,Other Financing Activities,Other Investing Activities,Other Liabilities,Other Operating Activities,Other Operating Items,Pre-Tax Margin,Pre-Tax ROE,Profit Margin,Quick Ratio,Research and Development,Retained Earnings,Sale and Purchase of Stock,"Sales, General and Admin.",Short-Term Debt / Current Portion of Long-Term Debt,Short-Term Investments,Total Assets,Total Current Assets,Total Current Liabilities,Total Equity,Total Liabilities,Total Liabilities & Equity,Total Revenue,Treasury Stock,For Year,Earnings Per Share,Estimated Shares Outstanding,Open,Close,Low,High,Volume,GICS Sector,GICS Sub Industry
174,AXP,12/31/2012,10006000000.0,153000000,0,24,-1053000000,12067000000.0,,27526000000.0,0,221000000.0,480000000.0,,0,0,991000000,8197000000,6451000000,88000000,0,3635000000.0,0.0,0,0.0,1969000000,0.0,1746000000,0,-5057000000.0,-1439000000,0.0,69923000000.0,0,0,-1157000000,-2643000000,7082000000.0,-3268000000.0,-6545000000.0,4482000000,2505000000,4482000000,4482000000,45914000000,0,0,0,11418000000.0,0,39803000000.0,-927000000,2300000000,-435000000,22158000000.0,390000000,1712000000,19,34,13,,0,7525000000.0,-3509000000,23392000000,3314000000.0,338000000.0,153140000000.0,0.0,0,18886000000.0,134254000000.0,153140000000.0,33781000000.0,0.0,2012.0,3.91,1146291560.0,56.470001,57.48,56.240002000000004,57.490002000000004,5604600,Financials,Consumer Finance
175,AXP,12/31/2013,10615000000.0,-73000000,0,27,-1006000000,12202000000.0,,24004000000.0,0,213000000.0,442000000.0,,0,0,1020000000,9404000000,7888000000,-151000000,0,3875000000.0,0.0,0,0.0,2529000000,0.0,1516000000,0,-6140000000.0,-271000000,0.0,71601000000.0,0,0,-925000000,-2764000000,8547000000.0,-3891000000.0,-7269000000.0,5359000000,2177000000,5359000000,5359000000,47185000000,0,0,0,11228000000.0,0,41763000000.0,-1426000000,1195000000,-123000000,21150000000.0,335000000,1832000000,23,40,15,,0,8507000000.0,-3222000000,23150000000,5021000000.0,498000000.0,153375000000.0,0.0,0,19496000000.0,133879000000.0,153375000000.0,34828000000.0,0.0,2013.0,4.91,1091446029.0,89.870003,90.730003,89.519997,90.790001,3083500,Financials,Consumer Finance
176,AXP,12/31/2014,11300000000.0,-56000000,0,28,-1195000000,12874000000.0,,26249000000.0,0,205000000.0,373000000.0,,0,0,1012000000,10325000000,8991000000,-232000000,0,3938000000.0,0.0,0,0.0,3106000000,0.0,1334000000,0,-6615000000.0,2106000000,0.0,74535000000.0,0,0,1878000000,2802000000,10990000000.0,11000000.0,-7967000000.0,5885000000,1393000000,5885000000,5885000000,47000000000,0,0,0,11342000000.0,0,44171000000.0,-1919000000,2459000000,-157000000,21524000000.0,650000000,2044000000,25,43,16,,0,9513000000.0,-3285000000,23153000000,3480000000.0,470000000.0,159103000000.0,0.0,0,20673000000.0,138430000000.0,159103000000.0,35895000000.0,0.0,2014.0,,,94.650002,93.040001,93.0,94.75,2306200,Financials,Consumer Finance
177,AXP,12/31/2015,11822000000.0,-673000000,0,25,-1341000000,13348000000.0,,26263000000.0,0,194000000.0,475000000.0,,0,0,1043000000,9086000000,7938000000,-276000000,0,4108000000.0,0.0,0,0.0,2775000000,0.0,1148000000,0,-6577000000.0,653000000,0.0,62558000000.0,0,0,-8289000000,474000000,10972000000.0,-2029000000.0,-8193000000.0,5163000000,2728000000,5163000000,5163000000,61687000000,0,0,0,10069000000.0,0,54997000000.0,-2534000000,10878000000,-275000000,20819000000.0,2058000000,1988000000,23,38,15,,0,9665000000.0,-3446000000,22892000000,4812000000.0,258000000.0,161184000000.0,0.0,0,20673000000.0,140511000000.0,161184000000.0,34441000000.0,0.0,2015.0,,,70.010002,69.550003,69.529999,70.32,3474000,Financials,Consumer Finance
358,COF,12/31/2012,450000000.0,-495000000,0,9,-560000000,26188000000.0,,75046000000.0,0,6000000.0,1403000000.0,,0,0,1862000000,6156000000,5184000000,0,0,3587000000.0,13904000000.0,0,0.0,1475000000,0.0,972000000,0,-651000000.0,857000000,0.0,265350000000.0,0,0,10669000000,5220000000,9524000000.0,14510000000.0,-18814000000.0,3492000000,3929000000,3462000000,3709000000,1694000000,0,0,0,17325000000.0,0,212485000000.0,739000000,-156000000,-17603000000,9574000000.0,-1114000000,5024000000,22,13,15,,0,16853000000.0,4123000000,11188000000,25826000000.0,0.0,312918000000.0,0.0,0,40499000000.0,272419000000.0,312918000000.0,23771000000.0,-3287000000.0,2012.0,6.21,562318840.6,56.77,57.93,56.470001,57.950001,2733500,Financials,Consumer Finance
359,COF,12/31/2013,307000000.0,356000000,0,10,-818000000,26526000000.0,,67223000000.0,0,6000000.0,1241000000.0,,0,0,2065000000,7129000000,6578000000,0,0,3839000000.0,13978000000.0,0,0.0,2224000000,0.0,551000000,0,4287000000.0,385000000,0.0,254908000000.0,0,0,-9054000000,-4767000000,9984000000.0,-18472000000.0,3721000000.0,4121000000,3440000000,4051000000,4354000000,1418000000,0,0,0,16499000000.0,0,204523000000.0,-872000000,-7972000000,252000000,9817000000.0,-576000000,4124000000,27,16,17,,0,20292000000.0,-838000000,11682000000,17231000000.0,0.0,296933000000.0,0.0,0,41632000000.0,255301000000.0,296933000000.0,24176000000.0,-4320000000.0,2013.0,7.05,584539007.1,76.0,76.610001,75.849998,76.709999,1935400,Financials,Consumer Finance
360,COF,12/31/2014,254000000.0,-29000000,0,10,-502000000,27869000000.0,,69250000000.0,0,6000000.0,1088000000.0,,0,0,2002000000,7060000000,6569000000,0,0,3685000000.0,13978000000.0,0,0.0,2146000000,0.0,491000000,0,-15602000000.0,121000000,0.0,266801000000.0,0,0,8197000000,951000000,9304000000.0,7638000000.0,-15991000000.0,4428000000,3260000000,4343000000,4423000000,1079000000,0,0,0,15382000000.0,0,205548000000.0,-430000000,1017000000,113000000,8855000000.0,-478000000,4073000000,28,15,19,,0,23973000000.0,-830000000,11648000000,18149000000.0,0.0,308167000000.0,0.0,0,45053000000.0,263114000000.0,308167000000.0,23869000000.0,-6365000000.0,2014.0,7.71,574319066.1,83.83000200000001,82.550003,82.529999,83.949997,1523200,Financials,Consumer Finance
361,COF,12/31/2015,299000000.0,-72000000,0,9,-532000000,29655000000.0,,71703000000.0,0,6000000.0,1091000000.0,,0,0,2100000000,6415000000,5881000000,0,0,3584000000.0,14480000000.0,0,0.0,1869000000,0.0,534000000,0,-19270000000.0,620000000,0.0,290322000000.0,0,0,9964000000,781000000,10127000000.0,20380000000.0,-29726000000.0,4050000000,4427000000,3872000000,4012000000,1189000000,0,0,0,16450000000.0,0,217721000000.0,-616000000,12163000000,-9924000000,9629000000.0,-998000000,4966000000,23,12,16,,0,27045000000.0,-773000000,12566000000,21112000000.0,0.0,334048000000.0,0.0,0,47284000000.0,286764000000.0,334048000000.0,25038000000.0,-8806000000.0,2015.0,7.15,566433566.4,72.709999,72.18,72.160004,73.260002,1702100,Financials,Consumer Finance
444,DFS,11/30/2012,3337000000.0,0,0,24,-144000000,3593000000.0,,10147000000.0,0,5000000.0,845000000.0,,0,0,-240000000,4239000000,3753000000,0,0,534000000.0,286000000.0,0,0.0,1408000000,190000000.0,486000000,0,-4444000000.0,349000000,0.0,67857000000.0,0,0,2028000000,1076000000,3041000000.0,3728000000.0,-5693000000.0,2345000000,-1235000000,2318000000,2345000000,0,0,0,0,2490000000.0,0,42155000000.0,-75000000,2539000000,-1105000000,0.0,-112000000,848000000,42,38,26,,0,7373000000.0,-630000000,3052000000,284000000.0,0.0,75283000000.0,0.0,0,9778000000.0,65505000000.0,75283000000.0,8984000000.0,-1678000000.0,2012.0,4.47,524608501.1,41.529999,41.610001000000004,41.389998999999996,41.790001000000004,5116800,Financials,Consumer Finance
445,DFS,12/31/2013,2958000000.0,0,0,23,-231000000,3687000000.0,,11545000000.0,0,5000000.0,698000000.0,,0,0,-131000000,4392000000,3944000000,0,0,654000000.0,284000000.0,0,0.0,1474000000,185000000.0,448000000,0,-3040000000.0,-269000000,0.0,69296000000.0,0,0,2525000000,3970000000,3517000000.0,3616000000.0,-3163000000.0,2470000000,-2469000000,2414000000,2470000000,0,0,0,0,2367000000.0,0,44959000000.0,-68000000,2773000000,108000000,0.0,-252000000,1086000000,42,36,26,,0,9611000000.0,-1283000000,3194000000,140000000.0,0.0,79340000000.0,0.0,0,10809000000.0,68531000000.0,79340000000.0,9370000000.0,-2986000000.0,2013.0,4.97,496981891.3,55.150002,55.950001,55.150002,56.200001,2405000,Financials,Consumer Finance
