Unnamed: 0.1,Ticker Symbol,Period Ending,Accounts Payable,Accounts Receivable,Add'l income/expense items,After Tax ROE,Capital Expenditures,Capital Surplus,Cash Ratio,Cash and Cash Equivalents,Changes in Inventories,Common Stocks,Cost of Revenue,Current Ratio,Deferred Asset Charges,Deferred Liability Charges,Depreciation,Earnings Before Interest and Tax,Earnings Before Tax,Effect of Exchange Rate,Equity Earnings/Loss Unconsolidated Subsidiary,Fixed Assets,Goodwill,Gross Margin,Gross Profit,Income Tax,Intangible Assets,Interest Expense,Inventory,Investments,Liabilities,Long-Term Debt,Long-Term Investments,Minority Interest,Misc. Stocks,Net Borrowings,Net Cash Flow,Net Cash Flow-Operating,Net Cash Flows-Financing,Net Cash Flows-Investing,Net Income,Net Income Adjustments,Net Income Applicable to Common Shareholders,Net Income-Cont. Operations,Net Receivables,Non-Recurring Items,Operating Income,Operating Margin,Other Assets,Other Current Assets,Other Current Liabilities,Other Equity,Other Financing Activities,Other Investing Activities,Other Liabilities,Other Operating Activities,Other Operating Items,Pre-Tax Margin,Pre-Tax ROE,Profit Margin,Quick Ratio,Research and Development,Retained Earnings,Sale and Purchase of Stock,"Sales, General and Admin.",Short-Term Debt / Current Portion of Long-Term Debt,Short-Term Investments,Total Assets,Total Current Assets,Total Current Liabilities,Total Equity,Total Liabilities,Total Liabilities & Equity,Total Revenue,Treasury Stock,For Year,Earnings Per Share,Estimated Shares Outstanding,Open,Close,Low,High,Volume,GICS Sector,GICS Sub Industry
160,AVB,12/31/2012,360778000.0,0,13295000,6,-934570000,7086407000.0,,2733618000.0,0,1144000.0,0.0,,63365000,0,275228000,387351000,250431000,0,20914000,8015120000.0,0.0,100,1000627000.0,0,0.0,136920000,0,23410000.0,-4737000,3903936000.0,129352000.0,3578000,7027000,193322000,2116765000,540819000.0,2199332000.0,-623386000.0,423562000,-167769000,423869000,250431000,0,1449000,353142000,35,168673000.0,0,0.0,-108007000,-54930000,284698000,10495000.0,14535000,243680000,25,4,42,,0,-142329000.0,2426840000,402356000,37049000.0,49950000.0,11160078000.0,0.0,0,6837215000.0,4322863000.0,11160078000.0,1000627000.0,0.0,2012.0,4.34,97594930.88,134.100006,135.58999599999999,133.630005,135.58999599999999,595000,Real Estate,Residential REITs
161,AVB,12/31/2013,421667000.0,0,-65681000,4,-2151799000,8988723000.0,,281355000.0,0,1294000.0,0.0,,72052000,0,565928000,230229000,57827000,0,-11154000,14284209000.0,0.0,100,1462921000.0,0,0.0,172402000,0,16164000.0,10997000,6228983000.0,367866000.0,3595000,17320000,-1385519000,-2452263000,724315000.0,-1995404000.0,-1181174000.0,352771000,-171049000,353141000,57827000,0,0,307064000,21,224097000.0,0,0.0,-48631000,-51000000,954461000,15852000.0,-34332000,560215000,4,1,24,,0,-345254000.0,-32486000,595642000,44594000.0,98564000.0,15328143000.0,0.0,0,8596132000.0,6732011000.0,15328143000.0,1462921000.0,0.0,2013.0,2.78,126896043.2,118.57,118.230003,117.940002,119.220001,758800,Real Estate,Residential REITs
162,AVB,12/31/2014,438959000.0,0,85003000,8,-1341657000,9354685000.0,,509460000.0,0,1320000.0,0.0,,67029000,0,428031000,849134000,668516000,0,148766000,14935740000.0,0.0,100,1685061000.0,9368000,0.0,180618000,0,220031000.0,6959000,6591623000.0,298315000.0,0,12765000,412321000,228105000,886641000.0,158224000.0,-816760000.0,697327000,-242290000,683567000,659148000,0,0,615365000,37,234409000.0,0,0.0,-42515000,0,304866000,2000000.0,-3386000,442682000,40,7,41,,0,-267085000.0,339834000,627014000,48826000.0,95625000.0,16140578000.0,0.0,0,9046405000.0,7094173000.0,16140578000.0,1685061000.0,0.0,2014.0,5.22,133587547.9,166.759995,163.389999,163.199997,167.610001,552200,Real Estate,Residential REITs
163,AVB,12/31/2015,471347000.0,0,152008000,8,-1625191000,10068532000.0,,400507000.0,0,1370000.0,0.0,,37577000,0,475854000,919209000,743594000,0,70018000,15942309000.0,0.0,100,1856028000.0,1861000,0.0,175615000,0,102599000.0,23113000,6555750000.0,216919000.0,0,9997000,14782000,-108953000,1056754000.0,33810000.0,-1199517000.0,741733000,-184892000,742038000,741733000,0,-10542000,697183000,38,229172000.0,0,0.0,-31387000,0,323075000,553000.0,946000,477923000,40,8,40,,0,-197989000.0,674686000,691464000,53132000.0,104821000.0,16931305000.0,0.0,0,9840526000.0,7090779000.0,16931305000.0,1856028000.0,0.0,2015.0,5.54,133886823.1,185.369995,184.130005,183.889999,186.309998,487800,Real Estate,Residential REITs
572,ESS,12/31/2012,109910000.0,0,30771000,7,-514982000,2204778000.0,,42126000.0,0,3000.0,172167000.0,,20867000,0,175371000,202805000,90917000,0,41745000,4590351000.0,0.0,68,362986000.0,0,0.0,111888000,0,-239956000.0,13998000,1577597000.0,92713000.0,115312000,4349000,374536000,5717000,267499000.0,550356000.0,-812138000.0,125284000,-51972000,119812000,127653000,66163000,2215000,167025000,31,35003000.0,0,0.0,-69261000,-6398000,-57200000,22167000.0,-9488000,169173000,17,5,23,,0,-444466000.0,355468000,24573000,1253084000.0,0.0,4847223000.0,0.0,0,1764804000.0,3082419000.0,4847223000.0,535153000.0,0.0,2012.0,3.42,36632748.54,145.669998,146.649994,145.360001,146.91000400000001,147900,Real Estate,Residential REITs
573,ESS,12/31/2013,117810000.0,0,12836000,8,-470739000,2345763000.0,,53766000.0,0,4000.0,197336000.0,,24519000,0,198334000,201841000,85317000,0,55865000,4239301000.0,0.0,68,413254000.0,0,0.0,116524000,0,-48453000.0,94000,1412127000.0,767217000.0,113619000,4349000,218161000,-115000,304982000.0,148599000.0,-453696000.0,156283000,-63913000,150811000,140882000,68255000,5445000,188705000,31,33781000.0,0,0.0,-60472000,-7402000,65496000,24871000.0,-1588000,192420000,14,5,26,,0,-474426000.0,136996000,26684000,1629444000.0,0.0,5186839000.0,0.0,0,1884619000.0,3302220000.0,5186839000.0,610590000.0,0.0,2013.0,4.06,38493349.75,144.0,143.509995,142.550003,144.429993,348300,Real Estate,Residential REITs
574,ESS,12/31/2014,223383000.0,0,57582000,2,-700606000,6651165000.0,,95749000.0,0,6000.0,312546000.0,,0,0,336595000,259364000,94813000,0,39893000,10165271000.0,0.0,68,658392000.0,0,0.0,164551000,0,-67460000.0,25750000,2265209000.0,1159663000.0,113396000,23256000,279386000,7119000,493312000.0,520610000.0,-1147156000.0,122150000,-19299000,116859000,134438000,24923000,55408000,201514000,21,81126000.0,0,0.0,-51452000,-17402000,-379090000,32444000.0,15828000,360592000,10,2,13,,0,-650797000.0,536665000,40878000,2846372000.0,0.0,11526732000.0,0.0,0,6022672000.0,5504060000.0,11526732000.0,970938000.0,0.0,,,,211.16000400000001,206.600006,206.350006,211.91000400000001,251600,Real Estate,Residential REITs
575,ESS,12/31/2015,231681000.0,0,100031000,4,-830249000,7003317000.0,,123055000.0,0,6000.0,363508000.0,,0,0,421673000,437319000,232492000,0,21861000,10650782000.0,0.0,70,830899000.0,0,0.0,204827000,0,-115402000.0,-7746000,2256030000.0,1173532000.0,99290000,45452000,148504000,4073000,617410000.0,108214000.0,-725556000.0,232120000,-45023000,226865000,248239000,19285000,6212000,331174000,28,38437000.0,0,0.0,-42011000,-8034000,220095000,34518000.0,267000,453423000,19,4,19,,0,-797329000.0,356056000,40090000,3100387000.0,0.0,12005091000.0,0.0,0,6237733000.0,5767358000.0,12005091000.0,1194407000.0,0.0,2015.0,3.5,66320000.0,243.36000099999998,239.41000400000001,239.30000299999998,243.919998,338800,Real Estate,Residential REITs
1011,MAA,12/31/2012,99305000.0,0,-3737000,12,-385992000,1542999000.0,,9883000.0,0,422000.0,117275000.0,,13842000,0,131397000,120167000,62230000,0,-223000,2689234000.0,4106000.0,75,358613000.0,803000,0.0,57937000,0,-38694000.0,7108000,1695271000.0,4837000.0,31058000,4713000,-11624000,-48242000,210967000.0,70014000.0,-329223000.0,109825000,-36912000,105223000,61204000,0,1581000,123904000,26,29166000.0,0,0.0,-26054000,0,95463000,0.0,-482000,121211000,13,7,23,,0,-603315000.0,194335000,47115000,6669000.0,0.0,2751068000.0,0.0,0,914052000.0,1837016000.0,2751068000.0,475888000.0,0.0,2012.0,2.56,42900390.63,64.260002,64.75,64.059998,64.800003,153400,Real Estate,Residential REITs
1012,MAA,12/31/2013,221335000.0,0,-103000,4,-192241000,3599549000.0,,133694000.0,0,747000.0,172050000.0,,17424000,0,183768000,117225000,38247000,0,338000,6550804000.0,4106000.0,73,463440000.0,893000,0.0,78978000,0,-9249000.0,-28784000,3492733000.0,5499000.0,166726000,5050000,21723000,80258000,258380000.0,-94334000.0,-83788000.0,119279000,-63253000,115281000,37692000,0,33796000,117328000,18,91637000.0,0,0.0,108000,0,117702000,0.0,47335000,186979000,6,1,19,,0,-653593000.0,31190000,43720000,9270000.0,0.0,6841925000.0,0.0,0,2946811000.0,3895114000.0,6841925000.0,635490000.0,0.0,2013.0,2.27,52545814.98,61.200001,60.740002000000004,60.57,61.43,338000,Real Estate,Residential REITs
